movementType,data
correct,"[[46.0, 66.0, 0.062249, -9.78989, 1.484405], [45.0, 66.0, 0.298078, -9.434352, 2.327164], [43.0, 60.0, 0.164003, -7.95713, 3.026271], [33.0, 65.0, 1.315614, -8.651448, 5.506664], [21.0, 62.0, 1.525106, -8.054094, 5.261258], [26.0, 66.0, 1.037886, -7.515399, 6.719327], [38.0, 57.0, 1.466449, -6.708553, 6.856994], [48.0, 58.0, 1.399411, -6.169858, 8.191761], [39.0, 56.0, 1.584962, -5.26485, 8.63828], [43.0, 57.0, 1.033098, -4.531027, 8.700529], [45.0, 58.0, 1.205481, -3.74094, 9.400833], [42.0, 61.0, 1.551443, -4.182671, 10.14184], [65.0, 49.0, 1.403002, -4.176685, 8.738836], [75.0, 41.0, 1.373075, -4.559757, 8.295909], [78.0, 43.0, 1.114501, -6.173449, 8.175002], [73.0, 43.0, 1.674744, -6.952762, 7.377733], [52.0, 53.0, 1.969231, -7.514202, 6.570887], [76.0, 52.0, 1.653196, -7.750031, 5.785588], [80.0, 49.0, 1.137246, -8.51019, 4.158728], [94.0, 45.0, 0.93733, -8.933964, 4.007894]]"
wrong,"[[42.0, 94.0, 0.143652, -9.825804, 2.163161], [30.0, 92.0, 0.100556, -9.671378, 2.284068], [46.0, 84.0, 0.195127, -9.734824, 2.153584], [64.0, 80.0, 0.243011, -10.35732, 2.237381], [65.0, 69.0, 0.556652, -5.024232, 4.583699], [55.0, 45.0, 1.349133, 4.295198, 7.030573], [38.0, 48.0, 1.620875, 10.60153, 6.885724], [20.0, 37.0, 0.872687, 10.26993, 4.668694], [28.0, 34.0, 1.479617, 7.90326, 4.56694], [34.0, 39.0, 1.069011, 8.643068, 4.847061], [22.0, 58.0, 0.956484, 8.665813, 4.775235], [30.0, 68.0, 1.393425, 11.53048, 6.607996], [18.0, 65.0, 1.179144, 8.78672, 6.525397], [12.0, 45.0, 1.329979, 0.742203, 7.303512], [7.0, 45.0, 1.51553, -5.663484, 5.736507], [18.0, 65.0, 0.617704, -9.854534, 2.345121], [62.0, 56.0, 0.877475, -9.927557, 1.070208], [78.0, 61.0, 0.323217, -9.736021, 1.614889], [88.0, 76.0, 0.039504, -9.848549, 1.628057], [82.0, 79.0, 0.021548, -9.688137, 1.999158]]"
wrong,"[[84.0, 65.0, 0.513556, -9.753978, 1.576582], [78.0, 67.0, 0.320823, -9.837775, 1.753753], [78.0, 66.0, 0.262165, -9.740809, 1.760935], [96.0, 48.0, 0.378284, -9.369708, 2.433706], [93.0, 33.0, 1.25935, -5.438429, 6.798336], [57.0, 29.0, 1.191115, 0.792481, 9.198523], [57.0, 20.0, 0.533907, 3.470395, 9.119514], [24.0, 14.0, 0.381875, 7.530962, 6.861782], [40.0, 10.0, 0.603339, 9.103952, 5.42167], [53.0, 13.0, 0.988805, 9.745598, 4.517859], [28.0, 12.0, 1.165976, 9.80665, 3.924097], [31.0, 15.0, 0.934936, 9.190144, 3.642778], [31.0, 14.0, 0.805649, 9.981427, 4.811148], [36.0, 16.0, 1.059434, 8.680179, 6.030994], [45.0, 17.0, 1.164779, 6.80073, 7.721301], [36.0, 18.0, 1.06542, 0.932542, 8.803479], [67.0, 18.0, 1.307234, -4.580108, 8.327033], [78.0, 20.0, 0.884658, -8.042124, 5.56173], [100.0, 22.0, 0.853533, -9.586384, 2.837129], [114.0, 28.0, 0.762553, -9.950302, 1.280898]]"
correct,"[[40.0, 64.0, 0.282516, -9.775525, 1.417367], [32.0, 62.0, 0.654814, -9.394848, 1.827973], [36.0, 62.0, 0.852336, -9.144653, 4.082114], [40.0, 57.0, 1.309628, -8.206126, 5.704186], [37.0, 63.0, 1.100136, -7.837419, 6.588843], [31.0, 61.0, 1.211466, -6.983886, 7.121553], [42.0, 50.0, 1.212663, -6.807912, 7.570466], [38.0, 52.0, 0.910994, -5.481525, 8.236053], [36.0, 56.0, 1.260547, -4.207809, 8.870518], [31.0, 60.0, 1.397017, -3.653552, 9.307459], [34.0, 61.0, 1.138443, -2.946065, 10.35492], [50.0, 53.0, 1.982399, -3.604471, 10.13825], [58.0, 53.0, 1.444901, -3.70383, 9.058462], [56.0, 53.0, 1.978808, -4.765658, 7.947553], [55.0, 54.0, 1.551443, -6.23091, 7.68419], [49.0, 51.0, 1.531092, -7.162254, 7.001843], [48.0, 55.0, 1.784877, -7.599196, 5.83467], [42.0, 54.0, 1.382651, -8.2995, 5.096058], [36.0, 57.0, 1.274912, -8.486248, 4.763264], [37.0, 53.0, 0.994791, -8.864532, 3.73256]]"
wrong,"[[54.0, 88.0, 0.244209, -9.526528, 2.445677], [52.0, 94.0, 0.088585, -9.549274, 2.530671], [42.0, 96.0, -0.02873, -9.490616, 2.72939], [52.0, 90.0, -0.080206, -9.677363, 2.385822], [65.0, 88.0, 0.123301, -9.927557, 2.576161], [62.0, 87.0, 0.629675, -5.056554, 5.540183], [19.0, 85.0, 0.25618, 2.475605, 7.036559], [26.0, 69.0, 1.143231, 9.973047, 7.13113], [46.0, 74.0, 1.018733, 10.82658, 5.992687], [46.0, 69.0, 0.964863, 7.278373, 5.2852], [45.0, 69.0, 0.80924, 8.832211, 5.544971], [41.0, 81.0, 1.070208, 10.72602, 6.55293], [24.0, 84.0, 0.505177, 7.796718, 7.006631], [29.0, 81.0, 1.54426, 0.497994, 7.752425], [39.0, 84.0, 1.414973, -6.653487, 5.357026], [61.0, 74.0, 0.86311, -9.651027, 2.755726], [64.0, 90.0, 0.213084, -10.30584, 0.778116], [45.0, 94.0, 0.095768, -9.707291, 1.043872], [57.0, 86.0, 0.169988, -9.677363, 1.583764], [48.0, 80.0, -0.29329, -9.578004, 2.47321]]"
correct,"[[45.0, 65.0, 0.633266, -9.959879, 2.007538], [46.0, 65.0, 0.064643, -9.53012, 1.345541], [19.0, 63.0, 0.464475, -8.48984, 3.173514], [30.0, 65.0, 1.987187, -9.291897, 4.978743], [28.0, 62.0, 2.16795, -7.261614, 6.033388], [19.0, 62.0, 1.593341, -6.320693, 7.090428], [37.0, 49.0, 1.365892, -6.002264, 7.645883], [46.0, 51.0, 1.476025, -5.027823, 8.568848], [43.0, 54.0, 1.501164, -4.40174, 9.003395], [46.0, 60.0, 1.329979, -3.478775, 9.151836], [51.0, 58.0, 0.96606, -2.731784, 10.45069], [50.0, 58.0, 1.149217, -3.665523, 10.94749], [45.0, 42.0, 1.435324, -7.100005, 6.197391], [51.0, 46.0, 1.418565, -7.675811, 5.571307], [43.0, 51.0, 1.608904, -7.566875, 5.510255], [30.0, 55.0, 1.394622, -8.117541, 4.590882], [29.0, 57.0, 0.999579, -9.200917, 4.165911], [43.0, 57.0, 0.954089, -9.496601, 2.97719], [38.0, 58.0, 0.648829, -9.554062, 2.438494], [45.0, 55.0, 0.386664, -9.629479, 1.799243]]"
wrong,"[[68.0, 87.0, 0.205901, -9.662998, 2.397793], [69.0, 87.0, 0.095768, -9.606734, 2.379837], [69.0, 87.0, 0.149638, -9.661801, 2.357092], [66.0, 81.0, 0.521936, -8.054094, 4.568137], [66.0, 67.0, 1.35033, -6.099229, 5.734113], [42.0, 50.0, 1.298854, 0.727837, 7.368156], [41.0, 65.0, 0.922965, 7.484274, 7.509414], [49.0, 67.0, 0.960075, 9.467871, 5.8634], [45.0, 49.0, 0.833182, 9.361329, 4.746505], [33.0, 49.0, 0.895431, 8.634688, 4.607641], [48.0, 64.0, 0.775721, 8.554482, 4.891354], [33.0, 80.0, 1.199495, 11.0265, 6.287174], [21.0, 67.0, 0.979229, 8.219295, 6.089652], [28.0, 74.0, 1.816002, 4.140772, 8.402451], [33.0, 70.0, 1.205481, -1.997961, 8.614338], [58.0, 58.0, 2.154782, -6.979098, 5.774815], [61.0, 68.0, 1.794454, -9.441534, 3.277662], [60.0, 69.0, 0.767342, -10.22204, 1.088165], [78.0, 69.0, 0.720655, -10.39802, 0.245406], [109.0, 50.0, 0.272939, -9.824607, 1.046266]]"
wrong,"[[70.0, 88.0, -0.265756, -9.708488, 1.984793], [64.0, 90.0, -0.087388, -9.775525, 2.104503], [56.0, 85.0, 0.260968, -9.805453, 2.573767], [69.0, 51.0, 1.98599, -6.194997, 5.655105], [50.0, 46.0, 0.931344, 0.932542, 8.368932], [18.0, 64.0, 1.374272, 8.044518, 8.227674], [27.0, 67.0, 1.316811, 9.751583, 5.928043], [49.0, 64.0, 1.262941, 8.91481, 4.76087], [42.0, 69.0, 0.978031, 8.3821, 4.940435], [38.0, 75.0, 1.045069, 8.564059, 5.09127], [39.0, 74.0, 0.973243, 8.643068, 5.079299], [31.0, 79.0, 0.968455, 10.74997, 6.260838], [29.0, 74.0, 1.459266, 7.310695, 7.038953], [42.0, 62.0, 0.920571, -0.411803, 7.941567], [64.0, 57.0, 0.56144, -5.659893, 7.059304], [67.0, 64.0, 0.269348, -8.992621, 3.731363], [62.0, 78.0, 0.251391, -9.922769, 1.741782], [67.0, 82.0, -0.131681, -10.09635, 1.041478], [68.0, 84.0, -0.185551, -9.724051, 1.756147], [86.0, 81.0, 0.323217, -9.566033, 2.412158]]"
correct,"[[43.0, 57.0, 0.159214, -9.793482, 1.497573], [38.0, 62.0, 0.333991, -10.45308, 1.629254], [21.0, 61.0, 0.804452, -8.684967, 3.444059], [28.0, 55.0, 1.388637, -8.968679, 4.711789], [22.0, 52.0, 2.147599, -8.274361, 5.269638], [37.0, 31.0, 2.592921, -7.649475, 6.458359], [31.0, 28.0, 2.802413, -6.373365, 7.338228], [37.0, 34.0, 2.366668, -6.443994, 8.410831], [37.0, 42.0, 2.401384, -4.150349, 9.343372], [37.0, 57.0, 1.51553, -3.365051, 10.02452], [31.0, 60.0, 1.244985, -2.598906, 11.11867], [40.0, 55.0, 2.097321, -3.037045, 10.59075], [41.0, 48.0, 1.82917, -3.708618, 8.112753], [48.0, 45.0, 1.513135, -5.614403, 8.368932], [60.0, 46.0, 1.875857, -7.042544, 7.343017], [65.0, 46.0, 1.723825, -7.767987, 6.816292], [45.0, 43.0, 1.514333, -8.232463, 4.97156], [39.0, 42.0, 1.458069, -8.238448, 4.376601], [42.0, 45.0, 1.022324, -9.089587, 3.094506], [37.0, 49.0, 0.456095, -9.682152, 1.787272]]"
wrong,"[[88.0, 85.0, 0.262165, -9.646238, 2.15957], [82.0, 87.0, 0.215478, -9.631873, 2.208651], [82.0, 84.0, 0.035913, -10.10952, 1.950077], [94.0, 80.0, 0.593762, -9.181764, 3.453636], [72.0, 70.0, 0.575806, -4.578911, 6.22253], [70.0, 36.0, 1.656788, 2.357092, 6.904878], [32.0, 41.0, 1.077391, 11.38443, 7.552509], [42.0, 44.0, 0.587777, 10.25556, 4.458004], [27.0, 45.0, 1.023521, 7.890092, 4.754885], [36.0, 63.0, 0.930147, 8.726865, 5.0374], [24.0, 70.0, 1.306037, 9.88925, 5.0374], [30.0, 67.0, 2.483984, 9.894038, 5.749675], [30.0, 58.0, 1.79206, 5.085284, 7.927202], [54.0, 69.0, 1.75495, -0.608127, 8.701726], [68.0, 66.0, 1.13126, -5.530606, 7.179014], [93.0, 50.0, 1.794454, -8.78672, 4.065354], [93.0, 70.0, 1.006762, -9.910798, 1.884237], [84.0, 76.0, 0.240617, -9.708488, 1.606509], [85.0, 79.0, -0.181959, -9.696517, 1.290475], [96.0, 79.0, -0.131681, -10.00896, 1.493982]]"
wrong,"[[50.0, 88.0, 0.142455, -9.734824, 1.984793], [46.0, 85.0, 0.021548, -10.28788, 1.910573], [51.0, 74.0, 0.72664, -9.574412, 2.548628], [43.0, 67.0, 1.983596, -5.196615, 6.971915], [18.0, 48.0, -0.191536, 1.514333, 9.660604], [13.0, 34.0, 1.092953, 7.009026, 6.847417], [27.0, 46.0, 1.01993, 10.54646, 5.651513], [29.0, 38.0, 0.677559, 8.042124, 4.280833], [30.0, 40.0, 0.787692, 8.444349, 5.137957], [25.0, 41.0, 0.994791, 8.60955, 4.982334], [28.0, 43.0, 0.543484, 8.845378, 4.977545], [30.0, 44.0, 0.820014, 8.595184, 4.938041], [28.0, 49.0, 0.757765, 11.14501, 6.415264], [12.0, 40.0, 0.86311, 7.100005, 6.879739], [7.0, 33.0, 0.934936, -2.341529, 6.594829], [15.0, 38.0, 1.715446, -7.332243, 6.110003], [28.0, 38.0, 1.132457, -8.979453, 3.671508], [75.0, 30.0, 0.927753, -9.870096, 1.420959], [80.0, 46.0, 0.584185, -9.953894, 0.754174], [85.0, 68.0, 0.065841, -9.80665, 1.438915]]"
wrong,"[[50.0, 94.0, -0.063446, -10.00058, 2.155979], [45.0, 82.0, 0.488417, -9.405622, 2.776077], [56.0, 57.0, 1.134852, -3.263297, 5.334281], [48.0, 42.0, 1.727417, 6.106411, 8.669404], [31.0, 36.0, 0.822408, 9.952697, 6.596025], [37.0, 36.0, 0.786495, 9.961076, 4.989516], [43.0, 34.0, 0.976834, 8.377312, 4.906917], [38.0, 40.0, 1.140837, 8.892065, 4.847061], [27.0, 56.0, 1.169568, 11.0648, 6.206968], [25.0, 45.0, 1.025915, 7.891289, 7.116765], [20.0, 42.0, 1.064223, 0.146046, 7.600393], [22.0, 56.0, 0.909797, -6.157887, 5.619191], [37.0, 70.0, 1.130063, -10.10114, 2.41575], [32.0, 87.0, 0.398635, -10.17177, 0.909797], [19.0, 88.0, 0.505177, -9.676167, 1.698686], [24.0, 89.0, 0.486023, -9.464279, 2.183512], [28.0, 99.0, 0.310049, -9.618706, 2.322376], [30.0, 98.0, 0.347159, -9.651027, 2.357092], [31.0, 97.0, 0.272939, -9.625888, 2.327164], [31.0, 97.0, 0.33878, -9.738416, 2.201468]]"
wrong,"[[90.0, 76.0, -0.09098, -9.496601, 2.070984], [84.0, 48.0, 1.016339, -7.392098, 4.182671], [52.0, 58.0, 1.126472, -1.938106, 8.971074], [21.0, 43.0, 1.553837, 4.1707, 10.55843], [32.0, 34.0, 0.283713, 6.002264, 8.492233], [24.0, 28.0, 0.641646, 8.608353, 6.533776], [14.0, 18.0, 0.538695, 9.844957, 3.332729], [18.0, 19.0, -0.408211, 10.67096, 4.033033], [14.0, 18.0, 0.4956, 9.064447, 5.533], [18.0, 21.0, 0.413, 6.39611, 7.31668], [29.0, 22.0, 0.634463, -0.575806, 9.039309], [46.0, 22.0, 0.695516, -2.688689, 9.062054], [24.0, 34.0, 1.150414, -6.586449, 6.223727], [48.0, 38.0, 0.287304, -9.607931, 3.65834], [61.0, 42.0, 0.402226, -9.515755, 1.84593], [67.0, 45.0, 0.07422, -9.981427, 0.539893], [76.0, 51.0, 0.117316, -9.853337, 0.54109], [77.0, 53.0, 0.566229, -9.817424, 1.310825], [70.0, 65.0, 0.551864, -9.692925, 1.872266], [61.0, 82.0, 0.575806, -9.654618, 1.902193]]"
correct,"[[49.0, 73.0, 0.347159, -9.694122, 1.795651], [48.0, 73.0, 0.453701, -9.982624, 1.67235], [36.0, 72.0, 1.41617, -7.748834, 2.093729], [37.0, 74.0, 0.89184, -7.890092, 5.312734], [48.0, 55.0, 1.227028, -8.22528, 6.093243], [60.0, 50.0, 1.693898, -7.371747, 7.380127], [60.0, 42.0, 1.344344, -6.457162, 8.25401], [63.0, 50.0, 0.233435, -4.625598, 8.718486], [45.0, 67.0, 1.361104, -3.992331, 8.834604], [43.0, 69.0, 1.013944, -2.979584, 9.684546], [40.0, 74.0, 0.68115, -2.037466, 11.61427], [51.0, 65.0, 1.381454, -2.245761, 10.68053], [54.0, 63.0, 1.659182, -4.204218, 8.431181], [51.0, 68.0, 1.831564, -5.404911, 8.069656], [61.0, 67.0, 2.264915, -6.623559, 6.186617], [38.0, 86.0, 2.175132, -7.247249, 5.333084], [21.0, 81.0, 2.296039, -7.660248, 4.613627], [21.0, 86.0, 1.988385, -8.482656, 4.559757], [22.0, 78.0, 1.268927, -8.929175, 3.648763], [27.0, 70.0, 1.150414, -9.386468, 3.521871]]"
correct,"[[29.0, 94.0, 0.531513, -9.685743, 1.747767], [22.0, 94.0, 0.612916, -8.672996, 2.330755], [24.0, 96.0, 1.711854, -8.834604, 5.258864], [36.0, 70.0, 2.251747, -7.032968, 5.734113], [39.0, 66.0, 0.869095, -6.824672, 7.230489], [37.0, 65.0, 0.648829, -6.303933, 8.51019], [32.0, 61.0, 0.741005, -4.868609, 9.652225], [33.0, 68.0, 0.335188, -3.37343, 9.706094], [30.0, 81.0, 1.511938, -2.442086, 9.950302], [22.0, 85.0, 1.088165, -2.079364, 10.54287], [27.0, 77.0, 1.558625, -2.645593, 11.30183], [31.0, 75.0, 1.216254, -2.789245, 8.784326], [38.0, 76.0, 1.456872, -4.133589, 7.896077], [30.0, 91.0, 2.293645, -5.201403, 7.208941], [41.0, 79.0, 2.292448, -7.005434, 6.442797], [43.0, 72.0, 2.220622, -7.611167, 5.572505], [37.0, 75.0, 2.12246, -8.149862, 5.469554], [56.0, 56.0, 1.393425, -9.062054, 3.764882], [76.0, 63.0, 0.379481, -8.771158, 4.241328], [80.0, 65.0, 0.065841, -8.249222, 5.431247]]"
correct,"[[52.0, 69.0, 0.187945, -9.76116, 1.525106], [50.0, 69.0, 0.656011, -11.67532, 2.19668], [48.0, 61.0, 1.061828, -9.004593, 3.495534], [56.0, 51.0, 1.300052, -8.127118, 4.214992], [49.0, 45.0, 0.879869, -8.53054, 5.832275], [56.0, 38.0, 1.100136, -7.418434, 6.619968], [57.0, 41.0, 1.289278, -6.861782, 8.133103], [70.0, 43.0, 1.777695, -5.133168, 8.930372], [70.0, 57.0, 1.624466, -4.63278, 8.918402], [64.0, 62.0, 0.531513, -4.73214, 9.730036], [76.0, 51.0, 1.11091, -4.552575, 10.24958], [92.0, 37.0, 1.373075, -4.906917, 9.242816], [98.0, 41.0, 0.770933, -5.884948, 7.837419], [93.0, 44.0, 1.054646, -6.667852, 7.449559], [76.0, 44.0, 1.262941, -7.691373, 6.169858], [51.0, 49.0, 1.495179, -8.15106, 4.933253], [37.0, 56.0, 1.228225, -8.747216, 3.945644], [38.0, 60.0, 0.038307, -9.509769, 2.698265], [42.0, 60.0, -0.064643, -9.67018, 1.923741], [38.0, 69.0, -0.497994, -10.03889, 0.675165]]"
wrong,"[[144.0, 52.0, 0.287304, -9.774328, 1.430536], [187.0, 41.0, 0.593762, -10.54885, 1.631648], [102.0, 55.0, 0.902614, -3.986346, 6.180632], [63.0, 53.0, 1.657985, 5.670667, 7.64708], [64.0, 37.0, 0.794875, 11.75673, 7.24246], [61.0, 29.0, 0.816423, 9.753978, 4.683059], [42.0, 31.0, 0.671574, 8.462306, 4.710592], [52.0, 28.0, 0.536301, 8.443152, 5.268441], [36.0, 36.0, 0.590171, 11.08875, 6.367379], [38.0, 34.0, 1.05704, 3.696647, 6.927623], [89.0, 21.0, 1.115698, -2.901773, 7.921217], [171.0, 16.0, 0.784101, -8.48984, 4.570531], [160.0, 30.0, 0.25618, -11.23958, 0.009577], [115.0, 41.0, 1.053449, -10.34295, 0.604536], [102.0, 45.0, 0.424971, -9.677363, 1.39582], [91.0, 77.0, 0.401029, -9.840169, 1.751359], [76.0, 81.0, 0.179565, -9.412804, 2.232593], [69.0, 79.0, 0.980426, -9.939528, 1.332373], [82.0, 76.0, 0.365116, -9.743204, 1.798046]]"
correct,"[[32.0, 92.0, 0.605733, -9.671378, 1.990779], [37.0, 87.0, 0.646435, -9.759963, 1.679533], [27.0, 93.0, 0.811634, -8.491036, 3.475184], [40.0, 86.0, 1.092953, -7.838616, 5.019444], [40.0, 88.0, 0.736217, -7.717709, 6.190208], [45.0, 73.0, 1.254562, -7.307104, 6.697779], [41.0, 81.0, 1.383849, -6.918046, 7.384915], [37.0, 77.0, 1.14802, -6.521805, 8.439561], [32.0, 75.0, 1.195904, -4.794389, 8.933964], [33.0, 84.0, 0.840365, -3.992331, 9.350554], [36.0, 79.0, 0.859518, -3.421314, 9.167398], [38.0, 84.0, 0.978031, -3.013103, 9.442732], [33.0, 84.0, 1.878251, -4.216189, 8.152257], [39.0, 81.0, 1.605312, -5.635951, 7.70095], [34.0, 82.0, 1.774103, -6.841431, 7.635109], [30.0, 85.0, 2.15119, -7.576451, 6.625953], [30.0, 87.0, 2.129642, -7.777564, 5.682638], [37.0, 88.0, 1.786075, -8.773552, 4.63278], [37.0, 86.0, 1.47004, -9.065644, 4.115633], [39.0, 86.0, 1.381454, -9.11712, 3.414132]]"
wrong,"[[65.0, 75.0, 0.468066, -9.555259, 2.12246], [87.0, 58.0, 0.132878, -10.43154, 1.526304], [96.0, 37.0, 0.609324, -9.921572, 2.681506], [41.0, 18.0, 1.70946, -4.144363, 5.944803], [18.0, 15.0, 0.657208, 4.314352, 7.904457], [36.0, 13.0, 0.017957, 9.551667, 6.946776], [32.0, 14.0, 0.967258, 10.17895, 4.988319], [46.0, 33.0, 0.59855, 8.08881, 4.279635], [40.0, 51.0, 0.745794, 8.00621, 4.955997], [31.0, 50.0, 0.497994, 8.836999, 4.989516], [24.0, 42.0, 0.433351, 8.583213, 4.768053], [13.0, 30.0, 0.307655, 8.832211, 4.795586], [8.0, 29.0, 0.555455, 8.688558, 4.839879], [28.0, 28.0, 0.447716, 8.485051, 4.875792], [30.0, 31.0, 0.691924, 9.405622, 5.655105], [19.0, 33.0, 0.604536, 9.369708, 6.054936], [18.0, 29.0, 0.785298, 4.819528, 7.641095], [27.0, 28.0, 1.289278, -1.083376, 8.128315], [41.0, 30.0, 1.673547, -5.923255, 6.616376], [39.0, 30.0, 1.198298, -9.313444, 3.804387]]"
correct,"[[33.0, 91.0, 0.586579, -9.76954, 1.725022], [36.0, 91.0, 0.798466, -9.685743, 1.538275], [30.0, 93.0, -0.457293, -8.756793, 2.879028], [27.0, 87.0, 0.099359, -9.270349, 4.742914], [33.0, 78.0, 0.96606, -7.746439, 5.262455], [34.0, 76.0, 0.979229, -7.211336, 6.67264], [30.0, 70.0, 0.975637, -6.822278, 7.636306], [36.0, 70.0, 0.939724, -5.546168, 8.878897], [31.0, 66.0, 0.841562, -4.501099, 9.13388], [36.0, 75.0, 1.246182, -4.449624, 8.871715], [31.0, 82.0, 1.303643, -2.900575, 10.12628], [31.0, 77.0, 1.053449, -3.796007, 11.05642], [36.0, 72.0, 1.399411, -4.189853, 9.969456], [37.0, 75.0, 2.55581, -5.337873, 7.85777], [33.0, 76.0, 1.526304, -5.821501, 7.311892], [41.0, 77.0, 1.673547, -7.754819, 6.257246], [32.0, 77.0, 1.617283, -8.055291, 5.604826], [40.0, 68.0, 1.600524, -8.525752, 4.545392], [49.0, 68.0, 1.702277, -8.700529, 3.784036], [46.0, 72.0, 1.136049, -9.489418, 3.202245]]"
